gene	mean	median	longest_isoform	merged
Mrps2	2050	2050	2079	2079
Gbgt1	1335	1335	1335	1335
Ralgds	3670	3670	3750	4020
Cel	2038	2038	2038	2038
Gtf3c5	2814	2814	2823	2823
Gfi1b	1772	1772	1822	1822
Tsc1	7698	7697	7715	7715
1700026L06Rik	671	671	671	671
Ak8	1570	1570	1570	1570
Mir3088	74	74	74	74
Gtf3c4	7073	7073	7126	7126
Ddx31	3328	3328	3328	3328
Barhl1	3532	3532	3674	3693
1700101E01Rik	931	931	931	931
Ttf1	4153	4153	4153	4153
Setx	10970	10970	10970	10970
Ntng2	1840	1849	1924	1924
6530402F18Rik	4292	4292	4292	4292
Med27	1318	1260	1709	2470
Mir133c	80	80	80	80
Rapgef1	6107	6233	6251	6347
Gm13547	629	629	629	629
Trub2	3903	3903	4003	4003
Coq4	1987	1987	1987	1987
Slc27a4	4008	4008	4008	4008
Urm1	2143	2143	2143	2143
Mir219a-2	97	97	97	97
Mir219b	65	65	65	65
Cercam	2715	2715	2715	2715
Odf2	2966	2402	3905	4458
Gle1	3108	3108	3108	3108
Sptan1	8018	8018	8080	8080
Mir6997	71	71	71	71
Wdr34	1800	1800	1800	1800
Set	2748	2748	2816	3101
Pkn3	2931	2931	2931	2931
Zdhhc12	1173	1173	1194	1194
Zer1	4237	4237	4257	4257
Tbc1d13	3470	3470	3470	3470
Endog	1032	1032	1032	1032
D2Wsu81e	1838	1838	1838	1838
Ccbl1	1924	1924	1924	1924
1700084E18Rik	434	434	434	434
Lrrc8a	4254	4254	4254	4254
Phyhd1	1430	1326	1679	1793
Dolk	2126	2126	2126	2126
Nup188	5670	5670	5670	5670
Sh3glb2	1826	1842	1857	1857
Fam73b	3463	3463	3547	3620
Dolpp1	2192	2186	2458	2458
Crat	4393	4393	4393	4393
Ppp2r4	2577	2577	2577	2577
Ier5l	1559	1559	1559	1559
Cstad	817	817	817	817
Mir3089	84	84	84	84
1700001O22Rik	1130	993	1440	1591
Ntmt1	1217	1217	1217	1217
Asb6	2113	2113	2113	2113
Prrx2	1129	1129	1129	1129
Ptges	3647	3647	3647	3647
Tor1b	2997	2997	2997	2997
Tor1a	1452	1452	1452	1452
BC005624	1328	1328	1328	1328
Usp20	4157	4157	4157	4157
Fnbp1	4029	4529	4727	5619
D330023K18Rik	512	512	512	512
Gpr107	3926	3926	3926	3926
Ncs1	4035	4035	4035	4035
Ass1	1631	1631	1631	1631
Gm5424	1552	1552	1552	1552
Fubp3	3544	3544	3821	3821
Mir6998	64	64	64	64
Prdm12	2471	2471	2471	2471
Exosc2	1622	1622	1622	1622
Abl1	6761	7162	7367	7971
Qrfp	2863	2863	2863	2863
Fibcd1	4751	4751	4751	4751
Lamc3	5930	5930	5930	5930
Aif1l	2953	2953	2953	2953
Nup214	8195	8195	8195	8195
Mir7674	63	63	63	63
Fam78a	4011	4011	4011	4011
Ppapdc3	1824	1824	1824	1824
Prrc2b	9616	9616	10686	10689
Pomt1	2825	2825	2825	2825
Uck1	1951	1951	1951	1951
Swi5	690	655	780	780
Golga2	4401	4401	4442	4442
Dnm1	3491	3382	3809	4131
Gm23363	79	79	79	79
Mir199b	110	110	110	110
Ciz1	2835	2787	3010	3294
1110008P14Rik	657	657	657	657
Lcn2	853	853	853	853
Ptges2	1952	1952	1952	1952
Slc25a25	3346	3324	3561	4238
Naif1	3173	3173	3173	3173
Fam102a	4217	4217	4217	4217
Dpm2	861	861	861	861
Pip5kl1	1473	1473	1473	1473
St6galnac4	3817	3817	3994	3994
St6galnac6	2416	2419	2567	2695
Ak1	2055	2055	2085	2365
Eng	3478	3433	3572	3572
Fpgs	2263	2263	2263	2263
Mir8093	137	137	137	137
Cdk9	3389	3389	3389	3389
Mir2861	82	82	82	82
Mir3960	73	73	73	73
Sh2d3c	3095	3105	3563	3681
6330409D20Rik	1118	1118	1118	1118
Ttc16	2788	2725	2979	3816
Tor2a	1493	1493	1536	1536
Ptrh1	913	913	913	913
1700019L03Rik	1675	1675	1675	1675
Snord14a	22	22	22	22
Stxbp1	3939	3939	4005	4005
Fam129b	3693	3693	3693	3693
Lrsam1	3982	3982	3982	3982
Rpl12	638	638	638	638
Snora65	118	118	118	118
Slc2a8	2083	2083	2083	2083
Garnl3	3387	3387	3387	3387
Ralgps1	6150	6098	6308	6308
Angptl2	3444	3444	3444	3444
Zbtb34	6542	6542	6602	6602
Zbtb43	5043	5043	5089	5089
Lmx1b	1219	1219	1219	1219
C130021I20Rik	3815	3815	3815	3815
Mvb12b	4995	4995	4995	4995
Nron	3653	3653	3653	3653
C230014O12Rik	2674	2674	2674	2674
Pbx3	2797	2797	2854	2854
Mapkap1	3234	3126	3452	3530
Gapvd1	5950	5950	5950	5950
Hspa5	2575	2575	2616	2616
Rabepk	1858	1858	1858	1858
Fbxw2	2678	2813	2905	5698
Psmd5	2042	2042	2042	2042
Cutal	2327	2327	2352	2352
Phf19	3743	3743	3743	3743
Traf1	2325	2325	2325	2325
Hc	5448	5448	5448	5448
AI182371	1694	1681	1724	2358
Cntrl	4725	4725	7612	8052
Rab14	3081	3081	3081	3081
Gsn	2615	2620	2663	2938
Stom	2816	2816	2816	2816
4930568D16Rik	1227	1227	1227	1227
4930402F06Rik	1329	1329	1371	1371
Ggta1	3559	3559	3610	3610
Gm13446	2037	2037	2037	2037
Dab2ip	5927	6358	6651	7509
Ttll11	3191	3191	3191	3191
9030204H09Rik	653	653	653	653
Ndufa8	739	739	739	739
Morn5	690	690	690	690
Lhx6	3335	3335	3482	3577
Rbm18	2499	2492	2548	2548
Mrrf	2250	2250	2250	2250
Ptgs1	2866	2866	2866	2866
Olfr338	921	921	921	921
Olfr339	930	930	930	930
Olfr340	939	939	939	939
Olfr341	942	942	942	942
Olfr342	939	939	939	939
Olfr344	930	930	930	930
Olfr345	936	936	936	936
Olfr346	930	930	930	930
Olfr347	939	939	939	939
Olfr348	942	942	942	942
Olfr50	939	939	939	939
Olfr3	942	942	942	942
Olfr350	939	939	939	939
Olfr351	933	933	933	933
Olfr352	948	948	948	948
Olfr353	936	936	936	936
Olfr354	954	954	954	954
Olfr355	933	933	933	933
Olfr356	948	948	948	948
Olfr357	927	927	927	927
Olfr358	993	993	993	993
Olfr360	954	954	954	954
Olfr361	969	969	969	969
Olfr362	954	954	954	954
Olfr365	939	939	939	939
Olfr366	930	930	930	930
Olfr367-ps	1103	1103	1103	1103
Olfr368	984	984	984	984
Pdcl	2858	2858	2858	2858
Rc3h2	8955	8955	8965	8965
Snord90	68	68	68	68
Zbtb6	4535	4535	4535	4535
Zbtb26	5267	5267	5267	5267
Rabgap1	4602	4602	4967	6746
Gpr21	2297	2297	2297	2297
Strbp	16348	16348	16348	16348
Crb2	6372	6372	6372	6372
Dennd1a	4352	4352	4352	4352
Lhx2	2264	2264	2295	2820
Nek6	3171	3171	3175	3272
Psmb7	969	969	969	969
Nr5a1	2947	2947	2947	2947
Nr6a1	5978	5877	6185	6308
Mir181a-2	76	76	76	76
Mir181b-2	86	86	86	86
Olfml2a	2409	2409	2409	2409
Wdr38	1206	1206	1206	1206
Rpl35	452	452	452	452
Arpc5l	1271	1271	1271	1271
Golga1	4701	4793	4868	4868
Scai	10704	10704	10704	10704
Gm16523	4750	4750	4750	4750
Ppp6c	1558	1558	1558	1558
Lrp1b	14743	14743	14743	14743
Mir6336	130	130	130	130
Kynu	2493	2807	3070	5111
Arhgap15	2832	2728	3118	4519
Arhgap15os	1761	1761	1761	1761
Gtdc1	2564	2564	2564	2564
Zeb2	9066	9066	9235	9355
Mir5129	78	78	78	78
Zeb2os	1261	1261	1302	1385
1700019E08Rik	635	635	635	635
Acvr2a	5681	5681	5681	5681
Orc4	3167	4029	4075	4978
Mbd5	6178	6178	7055	7055
Epc2	4358	4358	4358	4358
Kif5c	6840	6840	6840	6840
Lypd6b	2285	2285	2285	2285
Lypd6	3577	3577	3660	3660
Mmadhc	1302	1302	1302	1302
Gm13483	939	939	1160	1786
Gm13498	2163	2163	2163	2163
Rnd3	2827	2827	2827	2827
Gm13497	2038	2038	2038	2038
1700057H21Rik	506	506	506	506
Tas2r134	897	897	897	897
Gm13490	2409	2409	2409	2409
Rbm43	1995	1977	2058	2155
Nmi	1319	1328	1368	1368
Tnfaip6	1601	1601	1601	1601
Rif1	8502	8502	8502	8502
Neb	22489	22489	22489	22489
4930573O16Rik	407	407	407	407
Arl5a	5212	5212	5212	5212
Cacnb4	7906	7928	8088	8682
Stam2	4124	4124	4124	4124
Fmnl2	5851	5851	5851	5851
Prpf40a	3564	3564	3564	3564
Arl6ip6	2553	2553	2553	2553
Rprm	1460	1460	1460	1460
Galnt13	6966	6966	6966	6966
Kcnj3	5106	5106	5215	5215
Mir195b	97	97	97	97
Nr4a2	3099	3099	3172	3347
BB557941	1099	1099	1099	1099
4930555B11Rik	1533	1533	1533	1533
Gpd2	5682	5682	5745	5931
Galnt5	3247	3247	3247	3247
Ermn	3521	3521	3521	3521
Cytip	5735	5735	5735	5735
Gm13546	849	849	1016	1016
Acvr1c	8841	8841	9025	9049
Gm13544	2940	2940	2940	2940
Acvr1	3042	3053	3298	3298
Upp2	2220	2203	2256	3645
Ccdc148	3640	3640	3640	3640
Pkp4	4549	4549	4614	4614
5330411J11Rik	1644	1644	1644	1644
Dapl1	573	573	573	573
Tanc1	7851	7851	7939	7939
Wdsub1	1835	1835	2093	2175
Baz2b	7980	7980	7980	7980
March7	2719	2719	2719	2719
Cd302	1336	1336	1350	1350
Ly75	5172	5172	5172	5172
Gm13580	561	561	561	561
Pla2r1	7112	7112	7112	7112
Itgb6	4841	4841	4894	5110
Rbms1	2575	2543	2688	3057
Gm13582	2655	2655	2655	2655
Tank	2086	2017	2225	2333
Psmd14	1541	1541	1541	1541
Tbr1	3976	3976	3976	3976
Slc4a10	5457	5442	5532	5532
Dpp4	4461	4461	5268	6301
Gcg	1091	1091	1091	1091
Fap	2704	2704	2704	2704
Ifih1	5445	5445	5519	5519
Gca	3288	3288	3288	3288
Kcnh7	3798	3798	3798	3798
Fign	9791	9798	9817	9968
Grb14	1964	1964	1964	1964
Cobll1	4986	4986	5042	5045
Slc38a11	1606	1606	1606	1606
Mir6337	105	105	105	105
Scn3a	9560	9560	9560	9560
Scn2a1	8690	8690	8690	8690
Csrnp3	10515	10569	10672	10996
Galnt3	3684	3684	3684	3684
Ttc21b	4436	4436	4470	4470
Scn1a	8287	8287	8287	8287
Gm13629	1347	1347	1347	1347
Scn9a	9832	9832	9849	9941
Scn7a	7333	7333	7333	7333
Gm1322	1966	1966	1966	1966
Xirp2	11962	11962	11969	11971
Mir7224	60	60	60	60
Mir6335	98	98	98	98
B3galt1	5222	5222	5222	5222
Stk39	3247	3247	3247	3247
4933409G03Rik	1339	1339	1339	1339
4932414N04Rik	3643	3643	3643	3643
Cers6	3930	3930	3930	3930
Nostrin	1807	1807	1807	1807
Spc25	1510	1488	1846	1846
G6pc2	1954	1950	2066	2148
Abcb11	4895	4895	4895	4895
Dhrs9	2817	2817	2817	2817
Lrp2	15467	15467	15467	15467
Bbs5	1419	1419	1419	1419
Klhl41	2538	2538	2538	2538
Fastkd1	2856	2856	2856	2856
Ppig	6297	6297	6297	6297
Ccdc173	1731	1731	1731	1731
Phospho2	2104	2104	2104	2104
Klhl23	4617	4617	4617	4617
Ssb	2074	2074	2088	2088
Mettl5	929	929	971	971
Ubr3	8075	8075	8081	8081
Myo3b	6256	6256	6256	6256
Sp5	2097	2097	2097	2097
Gad1os	889	889	889	889
Erich2	1749	1749	1749	1749
Gad1	3231	3231	3231	3231
Gorasp2	2385	2385	2484	2484
Tlk1	4031	4031	4031	4031
Mettl8	2137	2137	2369	2369
Dcaf17	3505	2235	7739	9413
Cybrd1	5208	5208	5208	5208
Dync1i2	2595	2610	2658	2787
Slc25a12	2924	2924	2924	2924
Hat1	1576	1576	1576	1576
Metap1d	1259	1259	1259	1259
Dlx1	2779	2779	2779	2779
Dlx1as	2793	2793	2793	2793
Dlx2	2473	2473	2473	2473
Platr26	641	641	641	641
Itga6	5953	5953	6018	6018
Pdk1	5185	5185	5185	5185
Rapgef4	4086	4125	4206	7896
Zak	3775	3334	6689	9110
Cdca7	2361	2361	2361	2361
8430437L04Rik	1663	1663	1663	1663
6430710C18Rik	1296	1296	1585	2057
Sp3	4130	4130	4176	4428
Sp3os	1147	1147	1147	1147
Ola1	1597	1597	2175	2304
Sp9	2813	2813	2813	2813
Cir1	1945	1945	1945	1945
Scrn3	3247	3247	3247	3247
Gpr155	4958	4969	5022	5022
Wipf1	4472	4481	4486	4778
Chrna1	4320	4320	4320	4320
Chn1os3	2707	2707	2707	2707
Chn1	3745	3862	4050	4934
Atf2	4010	4025	4300	6433
Atp5g3	703	714	724	724
4930441J16Rik	516	516	516	516
Lnp	8733	8733	8775	8775
Evx2	1428	1428	1428	1428
Hoxd13	2483	2483	2483	2483
Hoxd12	2534	2534	2534	2534
Hoxd11	3662	3662	3959	4211
Hoxd10	1850	1850	1850	1850
Hoxd9	2100	2100	2100	2100
Hoxd8	1924	2046	2049	2159
Hoxd3os1	794	794	794	794
Hoxd3	2902	2902	2902	2902
Hoxd4	2559	2559	2559	2559
Mir10b	68	68	68	68
Haglr	2454	2454	2454	2454
LOC102634401	893	893	893	893
Hoxd1	1862	1862	1862	1862
Mtx2	1258	1258	1258	1258
9430019J16Rik	929	929	929	929
Hnrnpa3	4334	5158	5224	5224
Gm6793	1458	1458	1458	1458
Nfe2l2	2469	2469	2469	2469
Agps	7359	7359	7359	7359
Ttc30b	2613	2613	2613	2613
Ttc30a2	2008	2008	2008	2008
Ttc30a1	2862	2862	2862	2862
Pde11a	2848	2848	2848	2848
Cyct	658	658	658	658
Rbm45	1897	1897	1897	1897
Osbpl6	6395	8012	8287	9065
Prkra	1554	1554	1554	1554
Dfnb59	1217	1217	1217	1217
Fkbp7	898	898	898	898
Plekha3	3007	3007	3007	3007
Ttn	91802	91802	101674	104320
Ccdc141	6329	6329	6329	6329
Sestd1	8935	8935	8935	8935
Zfp385b	2859	2697	3207	3663
Gm13944	751	751	751	751
Cwc22	3400	3376	3452	3455
4930440I19Rik	1038	1038	1038	1038
Gm14461	1780	1780	1780	1780
Ube2e3	1539	1539	1539	1539
Itga4	9832	9832	9832	9832
Cerkl	1759	1759	1759	1759
Neurod1	2494	2494	2494	2494
Ssfa2	5093	5093	5093	5093
Ppp1r1c	3324	3071	3804	6243
Pde1a	3009	2964	4495	4912
Prdx6b	2889	2889	2889	2889
Dnajc10	4054	4054	4054	4054
Gm13752	2616	2616	2616	2616
Frzb	2920	2920	2920	2920
Nckap1	4396	4396	4405	4405
Dusp19	1463	1463	1463	1463
Nup35	2742	2742	2752	2873
Zfp804a	4183	4183	4183	4183
Zc3h15	1962	1962	1962	1962
Itgav	7055	7055	7055	7055
Fam171b	3394	3394	3394	3394
Zswim2	2062	2062	2062	2062
Calcrl	4736	4736	4736	4736
Tfpi	2504	2993	3027	3780
Gm13710	830	830	830	830
Ctnnd1	5243	5294	5475	5475
Btbd18	3520	3520	3520	3520
2700094K13Rik	666	666	679	679
Tmx2	2137	2137	2287	2287
Med19	2059	2059	2059	2059
Zdhhc5	4740	4740	4740	4740
Clp1	1830	1830	1830	1830
Ypel4	752	752	752	752
Mir130a	64	64	64	64
Serping1	1820	1820	1820	1820
Ube2l6	1387	1387	1387	1387
Smtnl1	1761	1761	1761	1761
Timm10	666	666	666	666
Slc43a1	2484	2478	2539	2924
Rtn4rl2	1263	1263	1263	1263
Slc43a3	2601	2601	2601	2601
Prg2	838	838	838	838
Prg3	949	949	949	949
P2rx3	4190	4190	4190	4190
Ssrp1	2793	2793	2858	2938
Tnks1bp1	5747	5747	5747	5747
4930443O20Rik	1443	1443	1443	1443
Aplnr	3564	3564	3564	3564
Lrrc55	2900	2900	2900	2900
Olfr987	930	930	930	930
Olfr988	930	930	930	930
Olfr992	930	930	930	930
Olfr993	945	945	945	945
Olfr994	945	945	945	945
Olfr995	948	948	948	948
4833423E24Rik	1685	1685	1685	1685
Olfr996	1068	1068	1068	1068
Olfr998	1012	1012	1012	1012
Olfr1000	945	945	945	945
Olfr1002	957	957	957	957
Olfr154	1079	1079	1079	1079
Olfr1006	987	987	987	987
Olfr1008	942	942	942	942
Olfr1009	945	945	945	945
Olfr1010	936	936	936	936
Olfr1012	936	936	936	936
Olfr1013	918	918	918	918
Olfr1014	918	918	918	918
Olfr1015	1016	1016	1016	1016
Olfr1016	930	930	930	930
Olfr1018	936	936	936	936
Olfr1019	933	933	933	933
Olfr1020	1079	1079	1079	1079
Olfr1022	948	948	948	948
Olfr1023	936	936	936	936
Olfr1024	984	984	984	984
Olfr1026	924	924	924	924
Olfr1028	975	975	975	975
Olfr1029	1061	1061	1061	1061
Olfr1030	990	990	990	990
Olfr1031	1011	1011	1011	1011
Olfr1032	933	933	933	933
Olfr1033	3743	3743	3743	3743
Olfr1034	1023	1023	1023	1023
Olfr1036	1015	1015	1015	1015
Olfr1037	1125	1125	1125	1125
Olfr1038-ps	1210	1210	1210	1210
Olfr1039	960	960	960	960
Olfr1040	942	942	942	942
Olfr1042	1097	1097	1097	1097
Olfr1043	945	945	945	945
Olfr1044	945	945	945	945
Olfr52	960	960	960	960
Olfr1045	948	948	948	948
Olfr1046	951	951	951	951
Olfr1047	960	960	960	960
Olfr1048	963	963	963	963
Olfr1049	927	927	927	927
Olfr1051	927	927	927	927
Olfr1052	939	939	939	939
Olfr1053	943	943	943	943
Olfr1054	939	939	939	939
Olfr1055	939	939	939	939
Olfr1056	1079	1079	1079	1079
Olfr1057	948	948	948	948
Olfr1058	951	951	951	951
Olfr1061	942	942	942	942
Olfr1062	956	956	956	956
Olfr1065	992	992	992	992
Olfr1066	942	942	942	942
Olfr228	942	942	942	942
Olfr1076	942	942	942	942
Olfr1077-ps1	578	578	578	578
Olfr1079	948	948	948	948
Olfr1080	979	979	979	979
Olfr1082	990	990	990	990
Olfr1084	954	954	954	954
Olfr1085	942	942	942	942
Olfr1086	933	933	933	933
Olfr1087	942	942	942	942
Olfr1089	936	936	936	936
Olfr1090	942	942	942	942
Olfr1093	969	969	969	969
Olfr141	977	977	977	977
Olfr1094	1147	1147	1147	1147
Olfr1095	927	927	927	927
Olfr1097	1223	1223	1223	1223
Olfr1098	948	948	948	948
Olfr1099	939	939	939	939
Olfr1100	966	966	966	966
Olfr1101	933	933	933	933
Olfr1102	1063	1063	1063	1063
Olfr1104	933	933	933	933
Olfr1105	939	939	939	939
Olfr1106	939	939	939	939
Olfr1107	1108	1108	1108	1108
Olfr1109	939	939	939	939
Olfr259	939	939	939	939
Olfr1110	939	939	939	939
Olfr1111	940	940	940	940
Olfr1112	957	957	957	957
Olfr1113	981	981	981	981
Olfr1115	1102	1102	1102	1102
Olfr1116	924	924	924	924
Olfr1118	996	996	996	996
Olfr1120	945	945	945	945
Olfr1121	945	945	945	945
Olfr1122	981	981	981	981
Olfr1123	972	972	972	972
Olfr1124	957	957	957	957
Olfr1126	945	945	945	945
Pramel7	1860	1860	1860	1860
Pramel6	1540	1540	1540	1540
Olfr153	924	924	924	924
Olfr1128	936	936	936	936
Olfr1129	945	945	945	945
Olfr1130	1125	1125	1125	1125
Olfr1131	930	930	930	930
Olfr1132	927	927	927	927
Olfr1133	942	942	942	942
Olfr1134	1125	1125	1125	1125
Olfr1135	933	933	933	933
Olfr1136	1067	1067	1067	1067
Olfr1137	933	933	933	933
Olfr1138	936	936	936	936
Olfr1140	1020	1020	1020	1020
Olfr1141	936	936	936	936
Olfr152	951	951	951	951
Olfr1143	945	945	945	945
Olfr1145	978	978	978	978
Olfr1148	945	945	945	945
Olfr1151	927	927	927	927
Olfr1152	933	933	933	933
Olfr1153	957	957	957	957
Olfr1154	933	933	933	933
Olfr1155	945	945	945	945
Olfr1156	1076	1076	1076	1076
Olfr1157	1112	1112	1112	1112
Olfr74	957	957	957	957
Olfr1158	942	942	942	942
Olfr1160	960	960	960	960
Olfr1161	1012	1012	1012	1012
Olfr73	942	942	942	942
Olfr1162	945	945	945	945
Olfr1163	1043	1043	1043	1043
Olfr1164	1112	1112	1112	1112
Olfr1166	1632	1632	1632	1632
Olfr1167	1100	1100	1100	1100
Olfr1168	939	939	939	939
Olfr1170	951	951	951	951
Olfr1173	939	939	939	939
Olfr1176	948	948	948	948
Olfr1178	972	972	972	972
Olfr1179	924	924	924	924
Olfr1180	1063	1063	1063	1063
Olfr1181	936	936	936	936
Olfr1182	1178	1178	1178	1178
Olfr1183	912	912	912	912
Olfr1184	936	936	936	936
Olfr1186	1090	1090	1090	1090
Olfr1188	968	968	968	968
Olfr1189	921	921	921	921
Olfr1193	957	957	957	957
Olfr1195	927	927	927	927
Olfr1196	945	945	945	945
Olfr1197	945	945	945	945
Olfr1198	927	927	927	927
Olfr1199	933	933	933	933
Olfr1200	1011	1011	1011	1011
Olfr1201	924	924	924	924
Olfr1202	930	930	930	930
Olfr1205	1067	1067	1067	1067
Olfr1204	930	930	930	930
Olfr1206	924	924	924	924
Olfr1208	927	927	927	927
Olfr1209	933	933	933	933
Olfr1211	936	936	936	936
Olfr1212	936	936	936	936
Olfr1213	1297	1297	1297	1297
Olfr1214	936	936	936	936
Olfr1215	943	943	943	943
Olfr1216	936	936	936	936
Olfr1217	1105	1105	1105	1105
Olfr1218	936	936	936	936
Olfr1219	936	936	936	936
Olfr1220	1026	1026	1026	1026
Olfr1221	936	936	936	936
Olfr1222	936	936	936	936
Olfr1223	1531	1531	1531	1531
Olfr1225	1027	1027	1027	1027
Olfr1226	933	933	933	933
Olfr1228	972	972	972	972
Olfr1229	936	936	936	936
Olfr1230	918	918	918	918
Olfr1231	942	942	942	942
Olfr1232	936	936	936	936
Olfr1233	918	918	918	918
Olfr1234	945	945	945	945
Olfr1238	948	948	948	948
Olfr1239	918	918	918	918
Olfr1240	1074	1074	1074	1074
Olfr1241	945	945	945	945
Olfr1242	1053	1053	1053	1053
Olfr1243	918	918	918	918
Olfr1245	1062	1062	1062	1062
Olfr1246	1078	1078	1078	1078
Olfr1247	1065	1065	1065	1065
Olfr1248	1078	1078	1078	1078
Olfr1249	957	957	957	957
Olfr1250	945	945	945	945
Olfr1251	957	957	957	957
Olfr1252	945	945	945	945
Olfr1253	957	957	957	957
Olfr1254	945	945	945	945
Olfr1255	933	933	933	933
Olfr1256	921	921	921	921
Olfr48	906	906	906	906
Olfr1257	930	930	930	930
Olfr1258	936	936	936	936
Olfr1259	930	930	930	930
Olfr1260	933	933	933	933
Olfr1261	921	921	921	921
Olfr1262	915	915	915	915
Olfr1263	921	921	921	921
Olfr1264	927	927	927	927
Olfr1265	930	930	930	930
Olfr140	909	909	909	909
Olfr1269	930	930	930	930
Olfr32	1241	1241	1241	1241
Olfr1270	1018	1018	1018	1018
Olfr1506	1084	1084	1084	2168
Gm13769	1084	1084	1084	2168
Olfr142	918	918	918	918
Olfr1271	918	918	918	918
Olfr1272	927	927	927	927
Olfr1273-ps	924	924	924	924
Olfr1274-ps	1035	1035	1035	1035
Ptprj	5917	5917	7634	8253
Nup160	5684	5684	5684	5684
Fnbp4	4690	4690	4690	4690
Agbl2	3462	3462	3462	3462
Mtch2	2420	2420	2420	2420
C1qtnf4	1365	1365	1365	1365
Ndufs3	940	940	940	940
Kbtbd4	2393	2393	2393	2393
Ptpmt1	1321	1321	1321	1321
Celf1	6273	6298	7813	7965
Rapsn	1620	1620	1620	1620
Psmc3	1635	1635	1635	1635
Slc39a13	2257	2377	2416	2416
Spi1	1333	1333	1333	1333
Mybpc3	4150	4150	4150	4150
Madd	6039	6078	6135	6217
Nr1h3	1878	1878	1955	2036
Acp2	4653	4653	4653	4653
Ddb2	1915	1915	1915	1915
A330069E16Rik	892	892	892	892
Pacsin3	1895	1864	1994	2291
Arfgap2	3388	3388	3409	3409
1110051M20Rik	1979	1979	1979	1979
Lrp4	5637	5637	8028	9407
Ckap5	6545	6545	6577	6577
Snord67	98	98	98	98
F2	2031	2031	2031	2031
Zfp408	3740	3740	3740	3740
Arhgap1	2963	2952	3086	3326
Atg13	3573	3573	3573	3573
Harbi1	2301	2301	2301	2301
Ambra1	5153	5153	5290	5290
Chrm4	2768	2768	2768	2768
Mdk	888	876	1077	1403
Dgkz	3792	3792	4090	4373
Mir6999	61	61	61	61
Creb3l1	2271	2271	2271	2271
Phf21a	6368	6328	6466	6912
Mir1955	98	98	98	98
Gyltl1b	2452	2445	2665	2665
Pex16	1316	1316	1462	1608
1700029I15Rik	364	364	364	364
Mapk8ip1	3103	3151	3226	3461
Mir7000	63	63	63	63
Cry2	4001	4001	4001	4001
D930015M05Rik	1190	1190	1190	1190
Slc35c1	2894	2894	3138	3254
Mir7221	72	72	72	72
Mir7222	75	75	75	75
Chst1	2682	2682	2682	2682
Syt13	3751	3751	3751	3751
Prdm11	1870	1870	1870	1870
4631405J19Rik	1231	1231	1231	1231
Trp53i11	2662	2662	2662	2662
Tspan18	3751	3751	3751	3751
Gm13807	1295	1295	1295	1295
Cd82	1753	1724	1920	2077
Mir7001	79	79	79	79
Gm10804	1557	1557	2247	2923
Alx4	5203	5203	5203	5203
Ext2	2871	2871	2871	2871
Accs	3979	3979	4007	4172
Accsl	2225	2225	2225	2225
Gm13889	1291	1291	1291	1291
4921507L20Rik	1550	1550	1550	1550
Alkbh3	1231	1231	1231	1231
Hsd17b12	1839	1839	1839	1839
Mir129-2	90	90	90	90
Mir129b	65	65	65	65
Mir670	100	100	100	100
Ttc17	4591	4591	4591	4591
2810002D19Rik	1482	1482	1482	1482
Api5	3743	3743	3746	3746
Lrrc4c	3609	3568	3860	4624
B230118H07Rik	2269	2269	2269	2269
Rag2	3393	3393	3393	3393
Rag1	6669	6669	6669	6669
Traf6	6086	6086	6188	6188
Prr5l	4233	4245	4296	4446
Commd9	1175	1175	1175	1175
Ldlrad3	3908	3908	3910	3910
Trim44	5612	5612	5612	5612
Fjx1	2427	2427	2427	2427
Pamr1	2854	2854	2854	2854
Slc1a2	8232	10998	11571	12068
Cd44	4985	4930	5653	5653
Pdhx	2524	2524	2524	2524
Apip	924	924	924	924
Ehf	4387	4387	4387	4387
A930006I01Rik	2229	2229	2229	2229
BC016548	719	719	801	1170
Elf5	2169	2169	2215	2245
Cat	2551	2551	2551	2551
Abtb2	4558	4558	4558	4558
Nat10	3856	3856	3856	3856
Caprin1	5078	6089	6156	7593
4930547E08Rik	541	541	541	541
Lincred1	4916	4916	4916	4916
Lmo2	1574	1567	1646	1900
Fbxo3	3031	3031	4659	4760
Cd59b	796	796	796	796
Cd59a	1807	1807	1867	1867
A930018P22Rik	819	819	819	819
D430041D05Rik	10122	10122	10122	10122
Hipk3	7494	7494	7496	7496
Mir1902	80	80	80	80
Platr14	734	734	887	1145
Cstf3	2089	2637	2852	5190
Tcp11l1	3512	3512	3512	3512
Pin1rt1	1083	1083	1083	1083
Depdc7	1721	1721	1721	1721
Qser1	8975	8975	8975	8975
Prrg4	2846	2846	2846	2846
Ccdc73	3944	3944	3944	3944
Eif3m	1229	1229	1229	1229
Wt1os	3267	3267	3267	3267
Wt1	3092	3092	3092	3092
Them7	1555	1555	1598	1598
Rcn1	3063	3063	3063	3063
Pax6os1	1464	1464	1464	1464
Paupar	3482	3482	3482	3482
Pax6	3756	3667	4207	4761
Elp4	6755	6755	6755	6755
Immp1l	955	955	955	955
Dnajc24	1128	1128	1198	1198
Gm14015	3949	3949	3949	3949
Mpped2	2518	2518	2662	2738
Arl14ep	3285	3285	3308	3389
Fshb	1594	1594	1594	1594
Kcna4	4844	4844	4844	4844
Mettl15	1891	1891	1891	1891
Kif18a	3368	3368	3368	3368
Bdnf	3995	4001	4302	6714
Lin7c	4136	4136	4136	4136
Platr8	1349	1349	1349	1349
Lgr4	5060	5060	5060	5060
